itemid,name,source_type,confidence,policy_hint,reason,path_family,file,line,context,auto_live_promotion
132,tableware_set,QUEST_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,QUEST,scripts/quests/otherAreas/RQ5_Expertise.lua,16,"local mhauraID  = zones[xi.zone.MHAURA] || ----------------------------------- ||  || local quest = Quest:new(xi.questLog.OTHER_AREAS, xi.quest.id.otherAreas.EXPERTISE) ||  || quest.reward = || { ||     item  = xi.item.TABLEWARE_SET, ||     title = xi.title.THREE_STAR_PURVEYOR, || } ||  || quest.sections = || { ||     -- Section: Quest is available. ||     {",0
132,tableware_set,QUEST_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,QUEST,scripts/quests/otherAreas/RQ5_Expertise.lua,70,"||         [xi.zone.MHAURA] = ||         { ||             ['Take'] = ||             { ||                 onTrigger = function(player, npc) ||                     if quest:getVar(player, 'Prog') == 3 then ||                         return quest:progressEvent(62, xi.item.TABLEWARE_SET) -- Give dish from Valgeir. ||                     else ||                         return quest:event(63) -- Not goten the dish from Valgeir. ||                     end ||                 end, ||             }, ||  ||             onEventFinish =",0
133,tea_set,QUEST_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,QUEST,scripts/quests/otherAreas/RQ7_The_Basics.lua,18,"|| local quest = Quest:new(xi.questLog.OTHER_AREAS, xi.quest.id.otherAreas.THE_BASICS) ||  || quest.reward = || { ||     fame     = 60, ||     fameArea = xi.fameArea.WINDURST, ||     item     = xi.item.TEA_SET, ||     title    = xi.title.FIVE_STAR_PURVEYOR, || } ||  || quest.sections = || { ||     -- Section: Quest is available. ||     {",0
188,copy_of_acolytes_grief,NPC_VENDOR_REFERENCE,HIGH,VENDOR_REVIEW,LOCAL_SHOP_CONTEXT,NPC_SCRIPT,scripts/zones/Port_Jeuno/npcs/Gekko.lua,18,"{ xi.item.FLASK_OF_EYE_DROPS,                2595 }, ||         { xi.item.ANTIDOTE,                           316 }, ||         { xi.item.FLASK_OF_ECHO_DROPS,                800 }, ||         { xi.item.POTION,                             910 }, ||         { xi.item.ETHER,                             4832 }, ||         { xi.item.ROLANBERRY,                         120 }, ||         { xi.item.SCROLL_OF_REGEN_IV,               50400 }, ||         { xi.item.COPY_OF_AUTUMNS_END_IN_GUSTABERG, 36000 }, ||         { xi.item.COPY_OF_ACOLYTES_GRIEF,           31224 }, ||     } ||  ||     player:showText(npc, zones[xi.zone.PORT_JEUNO].text.DUTY_FREE_SHOP_DIALOG) ||     xi.shop.general(player, stock) || end ||",0
189,copy_of_autumns_end_in_gustaberg,NPC_VENDOR_REFERENCE,HIGH,VENDOR_REVIEW,LOCAL_SHOP_CONTEXT,NPC_SCRIPT,scripts/zones/Port_Jeuno/npcs/Gekko.lua,19,"{ xi.item.ANTIDOTE,                           316 }, ||         { xi.item.FLASK_OF_ECHO_DROPS,                800 }, ||         { xi.item.POTION,                             910 }, ||         { xi.item.ETHER,                             4832 }, ||         { xi.item.ROLANBERRY,                         120 }, ||         { xi.item.SCROLL_OF_REGEN_IV,               50400 }, ||         { xi.item.COPY_OF_AUTUMNS_END_IN_GUSTABERG, 36000 }, ||         { xi.item.COPY_OF_ACOLYTES_GRIEF,           31224 }, ||     } ||  ||     player:showText(npc, zones[xi.zone.PORT_JEUNO].text.DUTY_FREE_SHOP_DIALOG) ||     xi.shop.general(player, stock) || end ||  || return entity",0
206,copy_of_ancient_blood,QUEST_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,QUEST,scripts/quests/windurst/A_Pose_by_Any_Other_Name.lua,48,"[xi.item.KENPOGI]        = 6, || } ||  || quest.reward = || { ||     fame = 20, ||     fameArea = xi.fameArea.WINDURST, ||     item = xi.item.COPY_OF_ANCIENT_BLOOD, ||     title = xi.title.SUPER_MODEL, ||     keyItem = xi.ki.ANGELICAS_AUTOGRAPH, || } ||  || quest.sections = || { ||     -- Section: Quest available",0
218,earthen_flowerpot,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Windurst_Waters/npcs/Ensasa.lua,15,"entity.onTrade = function(player, npc, trade) ||     xi.events.harvestFestival.onHalloweenTrade(player, trade, npc) || end ||  || entity.onTrigger = function(player, npc) ||     local stock = ||     { ||         { xi.item.EARTHEN_FLOWERPOT,        1000, 3 }, ||         { xi.item.TARUTARU_STOOL,           984, 3 }, ||         { xi.item.YELLOW_JAR,                496, 2 }, ||         { xi.item.TARUTARU_FOLDING_SCREEN,  3843, 1 }, ||         { xi.item.WOODEN_ARROW,                4, 2 }, ||         { xi.item.BONE_ARROW,                  5, 3 }, ||         { xi.item.CROSSBOW_BOLT,               6, 2 }, ||         { xi.item.SCROLL_OF_EARTH_THRENODY,  308, 3 },",0
219,ceramic_flowerpot,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Northern_San_dOria/npcs/Pirvidiauce.lua,14,"----------------------------------- || ---@type TNpcEntity || local entity = {} ||  || entity.onTrigger = function(player, npc) ||     local stock = ||     { ||         { xi.item.CERAMIC_FLOWERPOT,    1000, 3, }, ||         { xi.item.PILE_OF_RED_GRAVEL,   2205, 3, }, ||         { xi.item.ASH_CLOGS,             124, 3, }, ||         { xi.item.HOLLY_CLOGS,          1625, 2, }, ||         { xi.item.CHESTNUT_SABOTS,      9180, 1, }, ||         { xi.item.WOODEN_ARROW,            4, 3, }, ||         { xi.item.CROSSBOW_BOLT,           6, 2, }, ||         { xi.item.FLASK_OF_EYE_DROPS,   2595, 3, },",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Bubupp.lua,24,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.WORKBENCH, 1) or ||         trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||         trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||         trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||         trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) or ||         trade:hasItemQty(xi.item.WYVERN_SKULL, 1) or ||         trade:hasItemQty(xi.item.ROCK_OF_ANCIENT_SALT, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Kakapp.lua,24,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.WYVERN_SKULL, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.WORKBENCH, 1) or ||         trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||         trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||         trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||         trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) or ||         trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or ||         trade:hasItemQty(xi.item.ROCK_OF_ANCIENT_SALT, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Kukupp.lua,44,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.WORKBENCH, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||         trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||         trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||         trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or ||         trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) or ||         trade:hasItemQty(xi.item.WYVERN_SKULL, 1) or ||         trade:hasItemQty(xi.item.ROCK_OF_ANCIENT_SALT, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Lalapp.lua,37,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.ROCK_OF_ANCIENT_SALT, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.WORKBENCH, 1) or ||         trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||         trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||         trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or ||         trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||         trade:hasItemQty(xi.item.WYVERN_SKULL, 1) or ||         trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Lulupp.lua,55,"-- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||  ||     if opoOpoAndIStatus == xi.questStatus.QUEST_ACCEPTED then ||         if progress == 0 or failed == 1 then ||             if trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) then -- first or second time trading correctly ||                 player:startEvent(219) ||             elseif ||                 trade:hasItemQty(xi.item.WORKBENCH, 1) or ||                 trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||                 trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||                 trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||                 trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Mumupp.lua,53,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.WORKBENCH, 1) or ||         trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||         trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||         trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or ||         trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) or ||         trade:hasItemQty(xi.item.WYVERN_SKULL, 1) or ||         trade:hasItemQty(xi.item.ROCK_OF_ANCIENT_SALT, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Nenepp.lua,39,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.LUCKY_EGG, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.WORKBENCH, 1) or ||         trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||         trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||         trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or ||         trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||         trade:hasItemQty(xi.item.WYVERN_SKULL, 1) or ||         trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Popopp.lua,24,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.WANDERING_BULB, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.WORKBENCH, 1) or ||         trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||         trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||         trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or ||         trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) or ||         trade:hasItemQty(xi.item.WYVERN_SKULL, 1) or ||         trade:hasItemQty(xi.item.ROCK_OF_ANCIENT_SALT, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Roropp.lua,47,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.WORKBENCH, 1) or ||         trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||         trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||         trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or ||         trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) or ||         trade:hasItemQty(xi.item.WYVERN_SKULL, 1) or ||         trade:hasItemQty(xi.item.ROCK_OF_ANCIENT_SALT, 1) or",0
483,broken_mithran_fishing_rod,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Tatapp.lua,103,"-- 905       Wyvern Skull ||     -- 1147      Ancient Salt ||     -- 4600      Lucky Egg ||     local opoOpoAndIStatus = player:getQuestStatus(xi.questLog.OUTLANDS, xi.quest.id.outlands.THE_OPO_OPO_AND_I) ||     local progress = player:getCharVar('OPO_OPO_PROGRESS') ||     local failed = player:getCharVar('OPO_OPO_FAILED') ||     local goodtrade = trade:hasItemQty(xi.item.BLACKENED_TOAD, 1) ||     local badtrade = trade:hasItemQty(xi.item.BROKEN_MITHRAN_FISHING_ROD, 1) or ||         trade:hasItemQty(xi.item.WORKBENCH, 1) or ||         trade:hasItemQty(xi.item.HANDFUL_OF_THE_SANDS_OF_SILENCE, 1) or ||         trade:hasItemQty(xi.item.WANDERING_BULB, 1) or ||         trade:hasItemQty(xi.item.SET_OF_GIANT_FISH_BONES, 1) or ||         trade:hasItemQty(xi.item.TEN_OF_COINS_CARD, 1) or ||         trade:hasItemQty(xi.item.WYVERN_SKULL, 1) or ||         trade:hasItemQty(xi.item.ROCK_OF_ANCIENT_SALT, 1) or",0
